Building Name,Street Address,Unit,City,State,Zip Code
,123 Test St,108,Seattle,WA,98122
Avenue Apartments,123 Test St,109,,WA,98122
Avenue Apartments,123 Test St,110,Seattle,,98122
4230 Main St.,4230 Main St.,,Seattle,WA,98105
569 Pine Dr.,569 Pine Dr.,,Seattle,WA,19345
Riverside Tower,400 First Ave,201,Seattle,WA,98101
Riverside Tower,400 First Ave,202,Seattle,WA,98101
Riverside Tower,,212,Seattle,WA,
Riverside Tower,400 First Ave,201,Seattle,WA,98101
Cascade Commons,2500 Eastlake Ave,1A,Seattle,WA,98102
Cascade Commons,2500 Eastlake Ave,1B,Seattle,WA,98102
Cascade Square,2500 Eastlake Ave,1A,Seattle,WA,98102
Cascade Square,2500 Eastlake Ave,1B,Seattle,WA,98102
Summit Place,8900 Lake City Way NE,,Seattle,WA,98115
Greenwood Arms,8500 Greenwood Ave N,101,Seattle,WA,98103
Greenwood Arms,8500 Greenwood Ave N,102,Seattle,WA,98103
Greenwood Arms,8500 Greenwood Ave N,103,Seattle,WA,98103
Boulevard Lofts,123 Test St,100,Seattle,Washington,98122
Boulevard Lofts,123 Test St,102,Seattle,Washington,98122
Boulevard Lofts,123 Test St,103,Seattle,Washington,98122
Boulevard Lofts,123 Test St,104,Seattle,Washington,98122
Boulevard Lofts,123 Test St,105,Seattle,Washington,98122
